City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,sao joao da barra,-21.6403,-41.0511,25.1,88,100,8.25,BR,1676080104
150,sembe,1.6481,14.5806,22.54,45,28,0.93,CG,1676080105
151,khatanga,71.9667,102.5,-30.18,87,100,4.55,RU,1676080105
152,kaitangata,-46.2817,169.8464,17.24,63,56,5.14,NZ,1676080106
153,omboue,-1.5746,9.2618,26.33,88,100,1.89,GA,1676080107
154,bandarbeyla,9.4942,50.8122,24.54,67,83,8.56,SO,1676080108
155,tres arroyos,-38.3739,-60.2798,26.55,35,12,2.29,AR,1676080109
156,cockburn town,21.4612,-71.1419,25.03,78,0,11.65,TC,1676079842
157,sheridan,44.8333,-106.9173,2.95,71,0,0.0,US,1676079911
158,benguela,-12.5763,13.4055,22.98,79,34,1.87,AO,1676080111
159,tasiilaq,65.6145,-37.6368,-6.91,97,100,0.64,GL,1676080112
160,riwaka,-41.0833,173.0,21.32,57,80,3.1,NZ,1676080112
161,alice springs,-23.7,133.8833,35.75,16,0,6.17,AU,1676080113
162,mareeba,-17.0,145.4333,29.69,72,100,3.25,AU,1676080114
163,ilulissat,69.2167,-51.1,-22.99,70,100,3.6,GL,1676080114
164,tarko-sale,64.9225,77.785,-12.1,94,76,6.97,RU,1676080115
165,kamaishi,39.2667,141.8833,4.5,80,85,5.32,JP,1676080115
166,bubaque,11.2833,-15.8333,23.55,75,2,5.41,GW,1676080116
167,lasa,46.6166,10.7002,-0.87,47,86,2.12,IT,1676080117
168,puerto cabezas,14.0351,-83.3888,23.61,87,6,4.36,NI,1676080117
169,burnie,-41.0667,145.9167,23.86,51,24,3.92,AU,1676080118
170,peace river,56.2501,-117.286,5.17,65,75,4.63,CA,1676080118
171,winchester,51.0651,-1.3187,8.46,91,100,2.06,GB,1676080113
172,jiayuguan,39.8167,98.3,-3.94,46,100,3.42,CN,1676080119
173,margate,51.3813,1.3862,6.5,85,100,0.89,GB,1676080120
174,dunedin,-45.8742,170.5036,16.24,72,57,5.81,NZ,1676079866
175,quelimane,-17.8786,36.8883,23.97,94,75,0.0,MZ,1676080121
176,porosozero,62.7191,32.727,-6.9,92,100,4.65,RU,1676080121
177,keflavik,64.0049,-22.5624,4.95,93,100,6.17,IS,1676080122
178,hamilton,39.1834,-84.5333,2.83,80,40,2.57,US,1676079745
179,antofagasta,-23.65,-70.4,22.6,78,24,1.2,CL,1676080058
180,husavik,66.0449,-17.3389,3.04,73,96,8.05,IS,1676080124
181,harjavalta,61.3167,22.1333,-2.15,94,100,1.11,FI,1676080124
182,doha,25.2867,51.5333,14.99,67,0,5.14,QA,1676080125
183,taltal,-25.4,-70.4833,20.56,81,8,0.33,CL,1676080126
184,chuy,-33.6971,-53.4616,22.21,86,0,3.23,UY,1676080126
185,fare,-16.7,-151.0167,27.39,74,15,4.01,PF,1676080127
186,mandan,46.8267,-100.8896,1.99,73,0,4.12,US,1676080127
187,gympie,-26.1898,152.665,34.23,26,0,1.94,AU,1676080035
188,straumen,63.8709,11.2999,-2.0,92,98,1.82,NO,1676080128
189,ponta do sol,32.6667,-17.1,13.89,80,100,4.29,PT,1676080129
190,mahebourg,-20.4081,57.7,26.25,78,75,3.09,MU,1676080129
191,constitucion,-35.3333,-72.4167,15.03,73,0,6.96,CL,1676079967
192,acapulco,16.8634,-99.8901,27.9,61,0,3.6,MX,1676080058
193,los llanos de aridane,28.6585,-17.9182,13.86,93,75,1.03,ES,1676080131
194,yellowknife,62.456,-114.3525,-17.47,85,75,5.66,CA,1676080131
195,hollabrunn,48.55,16.0833,1.44,82,25,0.89,AT,1676080133
196,muros,42.7762,-9.0603,2.6,63,0,3.21,ES,1676080133
197,berdigestyakh,62.0989,126.6992,-31.47,96,99,0.48,RU,1676080134
198,kinablangan,7.6947,126.5503,26.23,84,46,2.61,PH,1676080134
199,tshikapa,-6.4167,20.8,23.14,79,100,0.56,CD,1676080135
200,hithadhoo,-0.6,73.0833,27.41,66,28,4.55,MV,1676080136
201,byron bay,-28.65,153.6167,29.97,53,0,4.42,AU,1676079978
202,thompson,55.7435,-97.8558,-9.91,79,75,3.09,CA,1676079925
203,pisco,-13.7,-76.2167,23.03,94,0,7.72,PE,1676080137
204,kahului,20.8947,-156.47,26.01,69,40,9.77,US,1676079845
205,talnakh,69.4865,88.3972,-14.95,96,100,6.6,RU,1676080138
206,santiago de cao,-7.9589,-79.2392,21.07,94,40,1.54,PE,1676080139
207,nurota,40.5614,65.6886,-5.1,42,0,3.54,UZ,1676080140
208,esperance,-33.8667,121.9,19.92,62,55,6.15,AU,1676080140
209,necochea,-38.5473,-58.7368,26.06,58,87,6.79,AR,1676080141
210,wattegama,6.7989,81.4808,21.73,85,100,1.48,LK,1676080142
211,cabo san lucas,22.8909,-109.9124,24.17,38,20,3.6,MX,1676079968
212,manono,-7.3,27.4167,19.88,96,98,1.28,CD,1676080144
213,biltine,14.5333,20.9167,21.47,13,3,3.89,TD,1676080145
214,bassila,9.0081,1.6654,24.57,18,0,0.9,BJ,1676080146
215,ngaoundere,7.3167,13.5833,18.19,19,12,1.66,CM,1676080147
216,puerto quijarro,-17.7833,-57.7667,22.79,99,100,1.24,BO,1676080148
217,ketchikan,55.3422,-131.6461,4.99,81,40,0.0,US,1676080067
218,dogondoutchi,13.6393,4.0287,21.91,12,0,4.57,NE,1676080149
219,kloulklubed,7.0419,134.2556,24.28,76,100,4.21,PW,1676080150
220,katherine,-14.4667,132.2667,29.18,74,100,0.0,AU,1676080151
221,general pico,-35.6566,-63.7568,27.2,22,0,4.81,AR,1676080046
222,luquillo,18.3725,-65.7166,25.01,69,20,4.63,PR,1676080152
223,mnogovershinnyy,53.9353,139.9242,-18.32,79,18,1.94,RU,1676080153
224,havre-saint-pierre,50.2334,-63.5986,-10.0,85,100,8.23,CA,1676080154
225,daitari,21.1,85.75,19.15,70,2,1.35,IN,1676080155
226,kavieng,-2.5744,150.7967,27.23,84,100,6.83,PG,1676080156
227,tamandare,-8.7597,-35.1047,25.64,78,74,3.68,BR,1676080157
228,maniitsoq,65.4167,-52.9,-22.17,98,70,4.2,GL,1676080158
